"","Gene","Size","Start","End"
"140","PA14_01690",326,47102,47427
"141","PA14_01710",187,47428,47614
"142","PA14_01720",521,47615,48135
"143","PA14_01730",300,48136,48435
"144","PA14_01750",449,48436,48884
"145","PA14_01760",329,48885,49213
"146","PA14_01770",282,49214,49495
"147","PA14_01780",208,49496,49703
"148","PA14_01790",172,49704,49875
"149","PA14_01800",365,49876,50240
"150","PA14_01810",320,50241,50560
"151","PA14_01830",316,50561,50876
"152","PA14_01840",181,50877,51057
"153","PA14_01860",349,51058,51406
"154","PA14_01870",876,51407,52282
"155","PA14_01890",306,52283,52588
"156","PA14_01900",239,52589,52827
"157","PA14_01910",201,52828,53028
"158","PA14_01930",279,53029,53307
"159","PA14_01940",383,53308,53690
"160","PA14_01960",359,53691,54049
"161","PA14_01970",1016,54050,55065
"162","PA14_01980",312,55066,55377
"163","PA14_01990",61,55378,55438
"164","PA14_02010",50,55439,55488
"165","PA14_02020",444,55489,55932
"166","PA14_02030",265,55933,56197
"167","PA14_02050",538,56198,56735
"168","PA14_02060",278,56736,57013
"169","PA14_02070",470,57014,57483
"170","PA14_02090",221,57484,57704
"171","PA14_02100",196,57705,57900
"172","PA14_02110",235,57901,58135
"173","PA14_02130",126,58136,58261
"174","PA14_02140",180,58262,58441
"175","PA14_02150",663,58442,59104
"176","PA14_02180",349,59105,59453
"177","PA14_02190",200,59454,59653
"178","PA14_02200",281,59654,59934
"179","PA14_02220",734,59935,60668
"180","PA14_02230",161,60669,60829
"181","PA14_02250",678,60830,61507
"182","PA14_02260",121,61508,61628
"183","PA14_02270",390,61629,62018
"184","PA14_02290",311,62019,62329
"185","PA14_02300",252,62330,62581
"186","PA14_02310",536,62582,63117
"187","PA14_02330",279,63118,63396
"188","PA14_02340",593,63397,63989
"189","PA14_02360",353,63990,64342
"190","PA14_02370",452,64343,64794
"191","PA14_02380",286,64795,65080
"192","PA14_02390",305,65081,65385
"193","PA14_02410",790,65386,66175
"194","PA14_02420",300,66176,66475
"195","PA14_02435",299,66476,66774
"196","PA14_02450",372,66775,67146
"197","PA14_02460",102,67147,67248
"198","PA14_02470",478,67249,67726
"199","PA14_02490",288,67727,68014
"200","PA14_02500",239,68015,68253
"201","PA14_02510",133,68254,68386
"202","PA14_02520",70,68387,68456
"203","PA14_02530",195,68457,68651
"204","PA14_02550",554,68652,69205
"205","PA14_02560",317,69206,69522
"206","PA14_02570",99,69523,69621
"207","PA14_02580",287,69622,69908
"208","PA14_02590",275,69909,70183
"209","PA14_02610",230,70184,70413
"210","PA14_02620",343,70414,70756
"211","PA14_02630",134,70757,70890
"212","PA14_02640",254,70891,71144
"213","PA14_02650",309,71145,71453
"214","PA14_02660",306,71454,71759
"215","PA14_02680",594,71760,72353
"216","PA14_02690",506,72354,72859
"217","PA14_02700",460,72860,73319
"218","PA14_02720",374,73320,73693
"219","PA14_02730",293,73694,73986
"220","PA14_02740",260,73987,74246
"221","PA14_02750",179,74247,74425
"222","PA14_02760",283,74426,74708
"223","PA14_02770",260,74709,74968
"224","PA14_02790",401,74969,75369
"225","PA14_02810",432,75370,75801
"226","PA14_02830",488,75802,76289
"227","PA14_02840",263,76290,76552
"228","PA14_02850",133,76553,76685
"229","PA14_02870",313,76686,76998
"230","PA14_02890",277,76999,77275
"231","PA14_02900",448,77276,77723
"232","PA14_02910",259,77724,77982
"233","PA14_02930",347,77983,78329
"234","PA14_02960",271,78330,78600
"235","PA14_02970",292,78601,78892
"236","PA14_02980",421,78893,79313
"237","PA14_02990",441,79314,79754
"238","PA14_03000",634,79755,80388
"239","PA14_03010",222,80389,80610
"240","PA14_03020",314,80611,80924
"241","PA14_03030",148,80925,81072
"242","PA14_03040",501,81073,81573
"243","PA14_03050",394,81574,81967
"244","PA14_03070",288,81968,82255
"245","PA14_03080",151,82256,82406
"246","PA14_03090",144,82407,82550
"247","PA14_03100",213,82551,82763
"248","PA14_03110",95,82764,82858
"249","PA14_03120",158,82859,83016
"250","PA14_03130",496,83017,83512
"251","PA14_03150",228,83513,83740
"252","PA14_03160",310,83741,84050
"253","PA14_03163",207,84051,84257
"254","PA14_03166",132,84258,84389
"255","PA14_03170",323,84390,84712
"256","PA14_03180",87,84713,84799
"257","PA14_03190",480,84800,85279
"258","PA14_03200",813,85280,86092
"259","PA14_03210",165,86093,86257
"260","PA14_03220",1047,86258,87304
"261","PA14_03240",172,87305,87476
"262","PA14_03250",550,87477,88026
"263","PA14_03265",249,88027,88275
"264","PA14_03270",1045,88276,89320
"265","PA14_03285",381,89321,89701
"266","PA14_03290",102,89702,89803
"267","PA14_03300",285,89804,90088
"268","PA14_03310",605,90089,90693
"269","PA14_03320",373,90694,91066
"270","PA14_03330",288,91067,91354
"271","PA14_03340",308,91355,91662
"272","PA14_03350",317,91663,91979
"273","PA14_03360",256,91980,92235
"274","PA14_03370",333,92236,92568
"275","PA14_03380",659,92569,93227
"276","PA14_03390",169,93228,93396
"277","PA14_03400",110,93397,93506
"278","PA14_03420",138,93507,93644
"279","PA14_03430",483,93645,94127
"280","PA14_03450",426,94128,94553
"281","PA14_03470",399,94554,94952
"282","PA14_03480",473,94953,95425
"283","PA14_03490",145,95426,95570
"284","PA14_03510",135,95571,95705
"285","PA14_03520",94,95706,95799
"286","PA14_03530",310,95800,96109
"287","PA14_03550",404,96110,96513
"288","PA14_03560",256,96514,96769
"289","PA14_03580",228,96770,96997
"290","PA14_03590",171,96998,97168
"291","PA14_03610",252,97169,97420
"292","PA14_03620",250,97421,97670
"293","PA14_03630",232,97671,97902
"294","PA14_03650",329,97903,98231
"295","PA14_03670",289,98232,98520
"296","PA14_03680",272,98521,98792
"297","PA14_03700",386,98793,99178
"298","PA14_03710",60,99179,99238
"299","PA14_03720",862,99239,100100
"300","PA14_03730",392,100101,100492
"301","PA14_03760",484,100493,100976
"302","PA14_03770",318,100977,101294
"303","PA14_03780",320,101295,101614
"304","PA14_03790",323,101615,101937
"305","PA14_03800",463,101938,102400
"306","PA14_03810",368,102401,102768
"307","PA14_03830",292,102769,103060
"308","PA14_03840",221,103061,103281
"309","PA14_03855",353,103282,103634
"310","PA14_03860",502,103635,104136
"311","PA14_03870",250,104137,104386
"312","PA14_03880",452,104387,104838
"313","PA14_03900",456,104839,105294
"314","PA14_03920",367,105295,105661
"315","PA14_03930",365,105662,106026
"316","PA14_03940",384,106027,106410
"317","PA14_03950",293,106411,106703
"318","PA14_03960",289,106704,106992
"319","PA14_03980",875,106993,107867
"320","PA14_04000",350,107868,108217
"321","PA14_04010",167,108218,108384
"322","PA14_04020",203,108385,108587
"323","PA14_04030",361,108588,108948
"324","PA14_04040",250,108949,109198
"325","PA14_04050",236,109199,109434
"326","PA14_04060",184,109435,109618
"327","PA14_04070",169,109619,109787
"328","PA14_04080",233,109788,110020
"329","PA14_04090",256,110021,110276
"330","PA14_04100",145,110277,110421
"331","PA14_04110",409,110422,110830
"332","PA14_04140",471,110831,111301
"333","PA14_04150",224,111302,111525
"334","PA14_04160",329,111526,111854
"335","PA14_04180",116,111855,111970
"336","PA14_04190",344,111971,112314
"337","PA14_04210",464,112315,112778
"338","PA14_04220",347,112779,113125
"339","PA14_04230",262,113126,113387
"340","PA14_04240",309,113388,113696
"341","PA14_04250",359,113697,114055
"342","PA14_04270",321,114056,114376
"343","PA14_04290",647,114377,115023
"344","PA14_04300",110,115024,115133
"345","PA14_04310",223,115134,115356
"346","PA14_04320",504,115357,115860
"347","PA14_04330",155,115861,116015
"348","PA14_04340",506,116016,116521
"349","PA14_04350",155,116522,116676
"350","PA14_04370",413,116677,117089
"351","PA14_04380",217,117090,117306
"352","PA14_04390",159,117307,117465
"353","PA14_04410",762,117466,118227
"354","PA14_04420",376,118228,118603
"355","PA14_04430",251,118604,118854
"356","PA14_04440",267,118855,119121
"357","PA14_04460",266,119122,119387
"358","PA14_04480",264,119388,119651
"359","PA14_04490",265,119652,119916
"360","PA14_04510",459,119917,120375
"361","PA14_04520",461,120376,120836
"362","PA14_04530",120,120837,120956
"363","PA14_04550",387,120957,121343
"364","PA14_04560",456,121344,121799
"365","PA14_04570",364,121800,122163
"366","PA14_04580",168,122164,122331
"367","PA14_04590",157,122332,122488
"368","PA14_04610",461,122489,122949
"369","PA14_04630",612,122950,123561
"370","PA14_04640",398,123562,123959
"371","PA14_04650",179,123960,124138
"372","PA14_04660",274,124139,124412
"373","PA14_04670",270,124413,124682
"374","PA14_04680",192,124683,124874
"375","PA14_04690",114,124875,124988
"376","PA14_04700",328,124989,125316
"377","PA14_04710",143,125317,125459
"378","PA14_04730",577,125460,126036
"379","PA14_04750",83,126037,126119
"380","PA14_04760",159,126120,126278
"381","PA14_04780",531,126279,126809
"382","PA14_04790",182,126810,126991
"383","PA14_04810",476,126992,127467
"384","PA14_04820",215,127468,127682
"385","PA14_04830",136,127683,127818
"386","PA14_04840",332,127819,128150
"387","PA14_04850",96,128151,128246
"388","PA14_04860",198,128247,128444
"389","PA14_04870",495,128445,128939
"390","PA14_04890",465,128940,129404
"391","PA14_04900",514,129405,129918
"392","PA14_04910",223,129919,130141
"393","PA14_04920",335,130142,130476
"394","PA14_04930",284,130477,130760
"395","PA14_04940",201,130761,130961
"396","PA14_04950",243,130962,131204
"397","PA14_04960",125,131205,131329
"398","PA14_04970",66,131330,131395
"399","PA14_04980",265,131396,131660
"400","PA14_05000",223,131661,131883
"401","PA14_05010",479,131884,132362
"402","PA14_05020",85,132363,132447
"403","PA14_05030",107,132448,132554
"404","PA14_05040",393,132555,132947
"405","PA14_05050",197,132948,133144
"406","PA14_05060",139,133145,133283
"407","PA14_05070",206,133284,133489
"408","PA14_05080",393,133490,133882
"409","PA14_05110",655,133883,134537
"410","PA14_05120",56,134538,134593
"411","PA14_05130",197,134594,134790
"412","PA14_05150",273,134791,135063
"413","PA14_05160",236,135064,135299
"414","PA14_05180",344,135300,135643
"415","PA14_05190",382,135644,136025
"416","PA14_05200",299,136026,136324
"417","PA14_05210",134,136325,136458
"418","PA14_05220",457,136459,136915
"419","PA14_05230",394,136916,137309
"420","PA14_05250",430,137310,137739
"421","PA14_05260",334,137740,138073
"422","PA14_05270",170,138074,138243
"423","PA14_05280",144,138244,138387
"424","PA14_05290",189,138388,138576
"425","PA14_05300",365,138577,138941
"426","PA14_05310",317,138942,139258
"427","PA14_05320",135,139259,139393
"428","PA14_05330",121,139394,139514
"429","PA14_05340",178,139515,139692
"430","PA14_05360",686,139693,140378
"431","PA14_05380",291,140379,140669
"432","PA14_05390",2778,140670,143447
"433","PA14_05400",343,143448,143790
"434","PA14_05410",168,143791,143958
"435","PA14_05420",264,143959,144222
"436","PA14_05430",203,144223,144425
"437","PA14_05440",471,144426,144896
"438","PA14_05450",254,144897,145150
"439","PA14_05460",488,145151,145638
"440","PA14_05480",496,145639,146134
"441","PA14_05500",189,146135,146323
"442","PA14_05510",191,146324,146514
"443","PA14_05520",147,146515,146661
"444","PA14_05530",383,146662,147044
"445","PA14_05540",1150,147045,148194
"446","PA14_05550",527,148195,148721
"447","PA14_05560",639,148722,149360
"448","PA14_05580",356,149361,149716
"449","PA14_05590",290,149717,150006
"450","PA14_05600",184,150007,150190
"451","PA14_05620",469,150191,150659
"452","PA14_05630",144,150660,150803
"453","PA14_05640",827,150804,151630
"454","PA14_05650",492,151631,152122
"455","PA14_05660",206,152123,152328
"456","PA14_05690",423,152329,152751
"457","PA14_05700",416,152752,153167
"458","PA14_05740",434,153168,153601
"459","PA14_05750",455,153602,154056
"460","PA14_05770",479,154057,154535
"461","PA14_05775",38,154536,154573
"462","PA14_05790",498,154574,155071
"463","PA14_05810",427,155072,155498
"464","PA14_05820",407,155499,155905
"465","PA14_05840",393,155906,156298
"466","PA14_05850",302,156299,156600
"467","PA14_05860",134,156601,156734
"468","PA14_05870",540,156735,157274
"469","PA14_05880",445,157275,157719
"470","PA14_05890",264,157720,157983
"471","PA14_05910",243,157984,158226
"472","PA14_05920",733,158227,158959
"473","PA14_05950",458,158960,159417
"474","PA14_05960",69,159418,159486
"475","PA14_05970",174,159487,159660
"476","PA14_05990",477,159661,160137
"477","PA14_06000",860,160138,160997
"478","PA14_06010",192,160998,161189
"479","PA14_06030",295,161190,161484
"480","PA14_06040",234,161485,161718
"481","PA14_06060",229,161719,161947
"482","PA14_06070",474,161948,162421
"483","PA14_06080",452,162422,162873
"484","PA14_06090",100,162874,162973
"485","PA14_06120",206,162974,163179
"486","PA14_06130",316,163180,163495
"487","PA14_06150",324,163496,163819
"488","PA14_06160",804,163820,164623
"489","PA14_06170",323,164624,164946
"490","PA14_06180",172,164947,165118
"491","PA14_06190",249,165119,165367
"492","PA14_06200",134,165368,165501
"493","PA14_06210",197,165502,165698
"494","PA14_06230",575,165699,166273
"495","PA14_06240",308,166274,166581
"496","PA14_06250",158,166582,166739
"497","PA14_06260",312,166740,167051
"498","PA14_06270",265,167052,167316
"499","PA14_06280",147,167317,167463
"500","PA14_06290",725,167464,168188
"501","PA14_06300",147,168189,168335
"502","PA14_06310",171,168336,168506
"503","PA14_06320",298,168507,168804
"504","PA14_06330",324,168805,169128
"505","PA14_06340",252,169129,169380
"506","PA14_06350",106,169381,169486
"507","PA14_06360",263,169487,169749
"508","PA14_06390",97,169750,169846
"509","PA14_06400",308,169847,170154
"510","PA14_06420",252,170155,170406
"511","PA14_06430",82,170407,170488
"512","PA14_06450",458,170489,170946
"513","PA14_06460",306,170947,171252
"514","PA14_06480",325,171253,171577
"515","PA14_06500",352,171578,171929
"516","PA14_06510",401,171930,172330
"517","PA14_06530",268,172331,172598
"518","PA14_06540",284,172599,172882
"519","PA14_06570",228,172883,173110
"520","PA14_06580",76,173111,173186
"521","PA14_06600",612,173187,173798
"522","PA14_06620",598,173799,174396
"523","PA14_06640",643,174397,175039
"524","PA14_06650",493,175040,175532
"525","PA14_06660",279,175533,175811
"526","PA14_06670",445,175812,176256
"527","PA14_06680",171,176257,176427
"528","PA14_06690",147,176428,176574
"529","PA14_06700",174,176575,176748
"530","PA14_06710",150,176749,176898
"531","PA14_06720",392,176899,177290
"532","PA14_06730",119,177291,177409
"533","PA14_06740",104,177410,177513
"534","PA14_06750",568,177514,178081
"535","PA14_06770",260,178082,178341
"536","PA14_06790",175,178342,178516
"537","PA14_06800",85,178517,178601
"538","PA14_06810",146,178602,178747
"539","PA14_06830",466,178748,179213
"540","PA14_06840",667,179214,179880
"541","PA14_06860",64,179881,179944
"542","PA14_06870",227,179945,180171
"543","PA14_06880",292,180172,180463
"544","PA14_06890",233,180464,180696
"545","PA14_06900",78,180697,180774
"546","PA14_06920",393,180775,181167
"547","PA14_06930",238,181168,181405
"548","PA14_06940",168,181406,181573
"549","PA14_06950",496,181574,182069
"550","PA14_06960",429,182070,182498
"551","PA14_06970",184,182499,182682
"552","PA14_06980",341,182683,183023
"553","PA14_06990",202,183024,183225
"554","PA14_07000",169,183226,183394
"555","PA14_07010",276,183395,183670
"556","PA14_07020",128,183671,183798
"557","PA14_07030",152,183799,183950
"558","PA14_07040",139,183951,184089
"559","PA14_07050",352,184090,184441
"560","PA14_07060",247,184442,184688
"561","PA14_07070",434,184689,185122
"562","PA14_07090",429,185123,185551
"563","PA14_07110",333,185552,185884
"564","PA14_07130",665,185885,186549
"565","PA14_07140",409,186550,186958
"566","PA14_07150",265,186959,187223
"567","PA14_07170",353,187224,187576
"568","PA14_07190",387,187577,187963
"569","PA14_07200",66,187964,188029
"570","PA14_07210",113,188030,188142
"571","PA14_07230",354,188143,188496
"572","PA14_07240",160,188497,188656
"573","PA14_07250",218,188657,188874
"574","PA14_07260",255,188875,189129
"575","PA14_07280",392,189130,189521
"576","PA14_07290",162,189522,189683
"577","PA14_07300",384,189684,190067
"578","PA14_07310",224,190068,190291
"579","PA14_07330",117,190292,190408
"580","PA14_07340",303,190409,190711
"581","PA14_07355",112,190712,190823
"582","PA14_07360",171,190824,190994
"583","PA14_07370",52,190995,191046
"584","PA14_07380",152,191047,191198
"585","PA14_07400",156,191199,191354
"586","PA14_07410",115,191355,191469
"587","PA14_07420",204,191470,191673
"588","PA14_07430",923,191674,192596
"589","PA14_07440",111,192597,192707
"590","PA14_07450",373,192708,193080
"591","PA14_07460",57,193081,193137
"592","PA14_07480",561,193138,193698
"593","PA14_07500",1247,193699,194945
"594","PA14_07520",617,194946,195562
"595","PA14_07530",664,195563,196226
"596","PA14_07550",149,196227,196375
"597","PA14_07560",71,196376,196446
"598","PA14_07570",387,196447,196833
"599","PA14_07580",189,196834,197022
"600","PA14_07590",117,197023,197139
"601","PA14_07600",180,197140,197319
"602","PA14_07620",410,197320,197729
"603","PA14_07630",168,197730,197897
"604","PA14_07650",517,197898,198414
"605","PA14_07660",423,198415,198837
"606","PA14_07680",640,198838,199477
"607","PA14_07690",110,199478,199587
"608","PA14_07700",283,199588,199870
"609","PA14_07710",126,199871,199996
"610","PA14_07730",268,199997,200264
"611","PA14_07740",345,200265,200609
"612","PA14_07760",432,200610,201041
"613","PA14_07770",932,201042,201973
"614","PA14_07780",338,201974,202311
"615","PA14_07790",224,202312,202535
"616","PA14_07800",254,202536,202789
"617","PA14_07810",353,202790,203142
"618","PA14_07820",797,203143,203939
"619","PA14_07840",210,203940,204149
"620","PA14_07850",344,204150,204493
"621","PA14_07860",369,204494,204862
"622","PA14_07870",348,204863,205210
"623","PA14_07890",415,205211,205625
"624","PA14_07900",276,205626,205901
"625","PA14_07910",224,205902,206125
"626","PA14_07930",272,206126,206397
"627","PA14_07940",538,206398,206935
"628","PA14_07950",104,206936,207039
"629","PA14_07960",256,207040,207295
"630","PA14_07970",66,207296,207361
"631","PA14_07980",119,207362,207480
"632","PA14_07990",149,207481,207629
"633","PA14_08000",171,207630,207800
"634","PA14_08010",185,207801,207985
"635","PA14_08020",108,207986,208093
"636","PA14_08030",295,208094,208388
"637","PA14_08040",177,208389,208565
"638","PA14_08050",691,208566,209256
"639","PA14_08060",152,209257,209408
"640","PA14_08070",386,209409,209794
"641","PA14_08090",167,209795,209961
"642","PA14_08100",114,209962,210075
"643","PA14_08110",36,210076,210111
"644","PA14_08120",767,210112,210878
"645","PA14_08130",290,210879,211168
"646","PA14_08140",68,211169,211236
"647","PA14_08150",329,211237,211565
"648","PA14_08160",209,211566,211774
"649","PA14_08180",128,211775,211902
"650","PA14_08190",85,211903,211987
"651","PA14_08200",95,211988,212082
"652","PA14_08210",164,212083,212246
"653","PA14_08220",115,212247,212361
"654","PA14_08230",84,212362,212445
"655","PA14_08240",666,212446,213111
"656","PA14_08250",113,213112,213224
"657","PA14_08260",231,213225,213455
"658","PA14_08270",256,213456,213711
"659","PA14_08280",200,213712,213911
"660","PA14_08300",1226,213912,215137
"661","PA14_08310",350,215138,215487
"662","PA14_08320",100,215488,215587
"663","PA14_08330",76,215588,215663
"664","PA14_08340",201,215664,215864
"665","PA14_08350",349,215865,216213
"666","PA14_08360",278,216214,216491
"667","PA14_08370",214,216492,216705
"668","PA14_08380",140,216706,216845
"669","PA14_08390",264,216846,217109
"670","PA14_08400",215,217110,217324
"671","PA14_08420",118,217325,217442
"672","PA14_08430",493,217443,217935
"673","PA14_08440",266,217936,218201
"674","PA14_08450",365,218202,218566
"675","PA14_08460",322,218567,218888
"676","PA14_08470",140,218889,219028
"677","PA14_08480",344,219029,219372
"678","PA14_08490",260,219373,219632
"679","PA14_08500",140,219633,219772
"680","PA14_08510",116,219773,219888
"681","PA14_08520",363,219889,220251
"682","PA14_08540",448,220252,220699
"683","PA14_08560",399,220700,221098
"684","PA14_08620",312,221099,221410
"685","PA14_08630",248,221411,221658
"686","PA14_08640",234,221659,221892
"687","PA14_08680",397,221893,222289
"688","PA14_08695",122,222290,222411
"689","PA14_08710",177,222412,222588
"690","PA14_08720",143,222589,222731
"691","PA14_08730",231,222732,222962
"692","PA14_08740",166,222963,223128
"693","PA14_08750",122,223129,223250
"694","PA14_08760",1357,223251,224607
"695","PA14_08780",1399,224608,226006
"696","PA14_08790",123,226007,226129
"697","PA14_08810",156,226130,226285
"698","PA14_08820",706,226286,226991
"699","PA14_08830",397,226992,227388
"700","PA14_08840",103,227389,227491
"701","PA14_08850",211,227492,227702
"702","PA14_08860",200,227703,227902
"703","PA14_08870",99,227903,228001
"704","PA14_08880",273,228002,228274
"705","PA14_08890",91,228275,228365
"706","PA14_08900",110,228366,228475
"707","PA14_08910",228,228476,228703
"708","PA14_08920",137,228704,228840
"709","PA14_08930",63,228841,228903
"710","PA14_08940",88,228904,228991
"711","PA14_08950",122,228992,229113
"712","PA14_08960",104,229114,229217
"713","PA14_08970",179,229218,229396
"714","PA14_08980",101,229397,229497
"715","PA14_08990",130,229498,229627
"716","PA14_09000",177,229628,229804
"717","PA14_09010",116,229805,229920
"718","PA14_09020",166,229921,230086
"719","PA14_09030",58,230087,230144
"720","PA14_09040",144,230145,230288
"721","PA14_09050",442,230289,230730
"722","PA14_09070",38,230731,230768
"723","PA14_09080",118,230769,230886
"724","PA14_09090",129,230887,231015
"725","PA14_09100",206,231016,231221
"726","PA14_09115",333,231222,231554
"727","PA14_09130",129,231555,231683
"728","PA14_09150",482,231684,232165
"729","PA14_09160",154,232166,232319
"730","PA14_09180",947,232320,233266
"731","PA14_09195",462,233267,233728
"732","PA14_09200",165,233729,233893
"733","PA14_09210",476,233894,234369
"734","PA14_09220",101,234370,234470
"735","PA14_09230",251,234471,234721
"736","PA14_09240",596,234722,235317
"737","PA14_09260",296,235318,235613
"738","PA14_09270",1598,235614,237211
"739","PA14_09280",1845,237212,239056
"740","PA14_09290",356,239057,239412
"741","PA14_09300",570,239413,239982
"742","PA14_09320",621,239983,240603
"743","PA14_09340",720,240604,241323
"744","PA14_09350",93,241324,241416
"745","PA14_09370",391,241417,241807
"746","PA14_09380",414,241808,242221
"747","PA14_09400",402,242222,242623
"748","PA14_09410",215,242624,242838
"749","PA14_09440",627,242839,243465
"750","PA14_09450",207,243466,243672
"751","PA14_09460",522,243673,244194
"752","PA14_09470",162,244195,244356
"753","PA14_09480",162,244357,244518
"754","PA14_09490",334,244519,244852
"755","PA14_09500",538,244853,245390
"756","PA14_09520",1078,245391,246468
"757","PA14_09530",401,246469,246869
"758","PA14_09540",149,246870,247018
"759","PA14_09550",388,247019,247406
"760","PA14_09570",336,247407,247742
"761","PA14_09580",351,247743,248093
"762","PA14_09600",346,248094,248439
"763","PA14_09610",302,248440,248741
"764","PA14_09630",660,248742,249401
"765","PA14_09660",540,249402,249941
"766","PA14_09680",807,249942,250748
"767","PA14_09690",214,250749,250962
"768","PA14_09700",401,250963,251363
"769","PA14_09710",547,251364,251910
"770","PA14_09730",303,251911,252213
"771","PA14_09740",442,252214,252655
"772","PA14_09750",470,252656,253125
"773","PA14_09760",242,253126,253367
"774","PA14_09770",340,253368,253707
"775","PA14_09780",155,253708,253862
